Identificador do Aluno,Nome do Aluno,Idade,Gênero,Ano Escolar,Você pratica xadrez regularmente?,Há quanto tempo você joga xadrez?,Qual foi sua média geral nas últimas três avaliações escolares?,Qual foi sua nota na última prova de Matemática?,Qual foi sua nota na última prova de Língua Portuguesa?
0066,Diego Ramos,6,Masculino,1º Ano,Sim,mais de 1 ano,7.79,7.46,5.37
0067,Bruno Ramos,17,Masculino,7º Ano,Não,Nunca,7.39,8.73,9.62
0068,Vivian Júnior,15,Feminino,10º Ano,Não,Nunca,6.26,7.37,9.4
0069,Natália Martins,7,Feminino,2º Ano,Não,Nunca,5.34,5.32,8.08
0070,Ana Ramos,7,Feminino,2º Ano,Não,Nunca,8.65,5.33,7.68
0071,Rafael Henrique,11,Masculino,6º Ano,Não,Nunca,9.07,9.64,6.77
0072,Vivian Pereira,18,Feminino,8º Ano,Não,Nunca,5.15,8.49,9.12
0073,Rafael Nogueira,17,Masculino,7º Ano,Não,Nunca,8.91,8.93,9.61
0074,Zeca Almeida,18,Masculino,8º Ano,Não,Nunca,6.79,5.1,8.09
0075,Rafael Ibarra,15,Masculino,10º Ano,Não,Nunca,9.35,8.97,9.34
0076,Bruno Silva,12,Masculino,7º Ano,Não,Nunca,5.38,6.08,8.46
0077,Carla Silva,18,Feminino,8º Ano,Não,Nunca,5.85,6.0,7.53
0078,Gabriela Nogueira,16,Feminino,6º Ano,Não,Nunca,6.92,6.33,7.56
0079,Patrícia Ramos,8,Feminino,3º Ano,Não,Nunca,9.17,8.55,6.78
0080,Isabela Nogueira,18,Feminino,8º Ano,Não,Nunca,8.7,9.05,7.62
0081,Patrícia Almeida,11,Feminino,6º Ano,Não,Nunca,5.35,7.4,5.1
0082,João Gomes,7,Masculino,2º Ano,Não,Nunca,6.33,9.44,5.36
0083,Bruno Lima,11,Masculino,6º Ano,Não,Nunca,9.7,6.63,5.64
0084,Patrícia Henrique,17,Feminino,7º Ano,Não,Nunca,8.1,6.03,5.05
0085,Zeca Almeida,14,Masculino,9º Ano,Não,Nunca,5.31,5.73,5.55
0086,Isabela Nogueira,16,Feminino,6º Ano,Não,Nunca,6.7,5.53,5.53
0087,Vivian Henrique,17,Feminino,7º Ano,Sim,mais de 1 ano,8.06,7.07,8.95
0088,Elisa Teixeira,17,Feminino,7º Ano,Não,Nunca,7.37,7.08,6.53
0089,Otávio Ramos,13,Masculino,8º Ano,Sim,mais de 1 ano,5.74,8.4,5.44
0090,Gabriela Martins,14,Feminino,9º Ano,Não,Nunca,8.42,6.49,5.71
0091,Diego Teixeira,10,Masculino,5º Ano,Não,Nunca,7.57,8.55,8.47
0092,Fernando Zanetti,14,Masculino,9º Ano,Não,Nunca,7.72,8.96,8.02
0093,Rafael Fernandes,17,Masculino,7º Ano,Sim,mais de 1 ano,7.84,9.52,7.96
0094,Fernando Pereira,7,Masculino,2º Ano,Não,Nunca,7.1,7.92,7.97
0095,Rafael Vieira,18,Masculino,8º Ano,Não,Nunca,9.22,9.56,6.04
0096,Elisa Oliveira,17,Feminino,7º Ano,Não,Nunca,7.66,5.38,7.56
0097,Elisa Silva,18,Feminino,8º Ano,Não,Nunca,9.13,5.3,9.96
0098,Carla Martins,9,Feminino,4º Ano,Sim,mais de 1 ano,7.18,6.75,8.9
0099,Henrique Fernandes,17,Masculino,7º Ano,Não,Nunca,6.35,5.94,5.46
0100,Carla Vieira,8,Feminino,3º Ano,Não,Nunca,9.75,8.19,8.36
0101,Carla Ramos,17,Feminino,7º Ano,Não,Nunca,7.67,8.98,5.38
0102,Diego Nogueira,10,Masculino,5º Ano,Não,Nunca,5.1,9.23,6.02
0103,Tiago Fernandes,10,Masculino,5º Ano,Não,Nunca,8.16,9.39,8.67
0104,João Vieira,16,Masculino,6º Ano,Não,Nunca,5.74,7.15,7.87
0105,Gabriela Vieira,10,Feminino,5º Ano,Não,Nunca,5.32,7.18,5.52
0106,Diego Barbosa,12,Masculino,7º Ano,Não,Nunca,7.75,9.44,6.96
0107,Ana Ramos,18,Feminino,8º Ano,Não,Nunca,5.05,6.95,6.52
0108,Elisa Gomes,18,Feminino,8º Ano,Não,Nunca,6.06,6.21,7.35
0109,Henrique Barbosa,12,Masculino,7º Ano,Não,Nunca,7.75,6.55,7.1
0110,Marcos Almeida,12,Masculino,7º Ano,Não,Nunca,5.96,7.57,7.68
0111,Rafael Nogueira,15,Masculino,10º Ano,Não,Nunca,8.13,6.77,6.19
0112,Ana Gomes,15,Feminino,10º Ano,Não,Nunca,9.38,8.4,6.61
0113,Fernando Nogueira,10,Masculino,5º Ano,Não,Nunca,5.45,7.43,7.57
0114,Zeca Oliveira,9,Masculino,4º Ano,Não,Nunca,6.52,8.23,8.79
0115,Zeca Pereira,17,Masculino,7º Ano,Não,Nunca,5.77,7.75,7.27
0116,Fernando Teixeira,8,Masculino,3º Ano,Não,Nunca,8.25,8.96,7.47
0117,Elisa Henrique,12,Feminino,7º Ano,Não,Nunca,9.92,5.09,7.72
0118,Elisa Júnior,14,Feminino,9º Ano,Não,Nunca,7.84,6.89,5.56
0119,Natália Teixeira,7,Feminino,2º Ano,Sim,mais de 1 ano,5.82,9.63,8.47
0120,Natália Pereira,18,Feminino,8º Ano,Sim,mais de 1 ano,6.36,8.96,7.72
0121,Elisa Lima,7,Feminino,2º Ano,Não,Nunca,8.37,5.54,7.94
0122,João Zanetti,11,Masculino,6º Ano,Não,Nunca,9.68,5.91,8.95
0123,João Lima,16,Masculino,6º Ano,Não,Nunca,6.84,6.27,6.84
0124,Ana Martins,18,Feminino,8º Ano,Não,Nunca,9.57,9.67,8.17
0125,João Costa,9,Masculino,4º Ano,Sim,mais de 1 ano,6.45,9.7,6.26
0126,Marcos Zanetti,10,Masculino,5º Ano,Não,Nunca,9.86,7.15,9.98
0127,Patrícia Zanetti,17,Feminino,7º Ano,Não,Nunca,8.63,7.16,9.11
0128,Diego Nogueira,15,Masculino,10º Ano,Não,Nunca,5.02,9.56,9.84
0129,João Ibarra,17,Masculino,7º Ano,Não,Nunca,8.28,7.07,6.35
0130,Fernando Ibarra,9,Masculino,4º Ano,Sim,Nunca,7.17,8.31,9.82
0131,Gabriela Vieira,9,Feminino,4º Ano,Não,Nunca,6.98,8.47,8.9
0132,Elisa Pereira,17,Feminino,7º Ano,Não,Nunca,7.19,6.04,7.19
0133,Tiago Gomes,11,Masculino,6º Ano,Não,Nunca,9.12,6.11,8.77
0134,Marcos Ibarra,16,Masculino,6º Ano,Não,Nunca,9.71,9.0,8.89
0135,João Júnior,14,Masculino,9º Ano,Não,Nunca,8.1,9.17,8.32
0136,Isabela Henrique,10,Feminino,5º Ano,Não,Nunca,9.07,6.67,5.98
0137,Elisa Silva,7,Feminino,2º Ano,Não,Nunca,5.8,9.82,8.4
0138,Bruno Lima,10,Masculino,5º Ano,Sim,mais de 1 ano,5.97,7.87,7.53
0139,João Oliveira,7,Masculino,2º Ano,Sim,Nunca,6.68,5.43,6.33
0140,Fernando Dias,10,Masculino,5º Ano,Não,Nunca,5.02,9.92,8.02
0141,João Costa,14,Masculino,9º Ano,Sim,mais de 1 ano,9.81,5.06,7.27
0142,Elisa Almeida,7,Feminino,2º Ano,Sim,mais de 1 ano,7.01,8.75,7.5
0143,Vivian Fernandes,15,Feminino,10º Ano,Sim,Nunca,9.43,9.93,7.66
0144,João Costa,18,Masculino,8º Ano,Não,Nunca,7.52,7.0,5.06
0145,Natália Teixeira,16,Feminino,6º Ano,Não,Nunca,8.04,8.17,5.09
0146,Rafael Barbosa,15,Masculino,10º Ano,Não,Nunca,7.55,6.61,7.35
0147,Sofia Ibarra,18,Feminino,8º Ano,Não,Nunca,8.94,6.1,7.87
0148,Zeca Nogueira,13,Masculino,8º Ano,Não,Nunca,7.2,6.9,6.88
0149,Isabela Ramos,9,Feminino,4º Ano,Não,Nunca,6.96,9.11,6.82
0150,Marcos Fernandes,18,Masculino,8º Ano,Não,Nunca,7.05,8.54,7.43
0151,Natália Barbosa,10,Feminino,5º Ano,Não,Nunca,7.78,9.52,8.38
0152,Fernando Lima,14,Masculino,9º Ano,Não,Nunca,9.63,8.08,6.56
0153,Marcos Barbosa,16,Masculino,6º Ano,Não,Nunca,9.05,5.36,6.89
0154,Patrícia Júnior,13,Feminino,8º Ano,Não,Nunca,8.23,9.24,9.14
0155,Henrique Ibarra,10,Masculino,5º Ano,Não,Nunca,5.29,6.33,9.47
0156,Tiago Pereira,9,Masculino,4º Ano,Não,Nunca,7.11,8.39,5.21
0157,Ana Teixeira,9,Feminino,4º Ano,Sim,mais de 1 ano,8.17,7.96,7.08
0158,Patrícia Nogueira,14,Feminino,9º Ano,Não,Nunca,9.06,9.25,5.34
0159,Otávio Dias,16,Masculino,6º Ano,Não,Nunca,7.94,6.71,6.85
0160,Ana Pereira,15,Feminino,10º Ano,Sim,Nunca,8.58,9.11,6.1
0161,Elisa Oliveira,7,Feminino,2º Ano,Não,Nunca,6.42,7.03,6.12
0162,Otávio Martins,18,Masculino,8º Ano,Sim,mais de 1 ano,8.0,5.12,7.23
0163,Natália Henrique,12,Feminino,7º Ano,Não,Nunca,6.61,9.23,9.61
0164,Vivian Almeida,6,Feminino,1º Ano,Não,Nunca,9.27,6.35,8.1
0165,Bruno Zanetti,15,Masculino,10º Ano,Sim,mais de 1 ano,6.58,7.97,9.18
0166,Tiago Gomes,14,Masculino,9º Ano,Sim,mais de 1 ano,8.8,6.88,5.93
0167,Vivian Queiroz,11,Feminino,6º Ano,Não,Nunca,5.2,9.84,9.5
0168,Laura Oliveira,13,Feminino,8º Ano,Não,Nunca,7.99,8.54,9.32
0169,Fernando Dias,17,Masculino,7º Ano,Sim,mais de 1 ano,9.05,7.94,7.98
0170,Gabriela Fernandes,13,Feminino,8º Ano,Não,Nunca,9.24,6.35,7.63
0171,Fernando Ibarra,12,Masculino,7º Ano,Não,Nunca,8.21,8.09,6.98
0172,Ana Zanetti,16,Feminino,6º Ano,Sim,mais de 1 ano,7.06,7.27,7.16
0173,Zeca Ibarra,15,Masculino,10º Ano,Não,Nunca,5.9,8.23,8.83
0174,Vivian Costa,14,Feminino,9º Ano,Não,Nunca,9.4,9.25,9.28
0175,Natália Gomes,18,Feminino,8º Ano,Não,Nunca,6.31,9.18,6.87
0176,Ana Almeida,6,Feminino,1º Ano,Sim,mais de 1 ano,6.03,6.59,8.22
0177,Ana Nogueira,7,Feminino,2º Ano,Não,Nunca,6.01,8.74,9.07
0178,Tiago Almeida,17,Masculino,7º Ano,Não,Nunca,7.01,5.28,8.11
0179,Natália Henrique,18,Feminino,8º Ano,Não,Nunca,8.94,9.66,7.0
0180,Tiago Queiroz,16,Masculino,6º Ano,Não,Nunca,9.46,6.62,5.84
0181,Elisa Martins,12,Feminino,7º Ano,Sim,Nunca,7.18,7.86,6.35
0182,Zeca Oliveira,12,Masculino,7º Ano,Não,Nunca,5.41,9.51,8.1
0183,Patrícia Fernandes,6,Feminino,1º Ano,Não,Nunca,7.73,7.58,6.21
0184,Tiago Vieira,11,Masculino,6º Ano,Não,Nunca,5.76,5.13,9.76
0185,Elisa Pereira,15,Feminino,10º Ano,Não,Nunca,7.01,7.81,5.24
0186,Laura Oliveira,10,Feminino,5º Ano,Não,Nunca,6.45,9.37,7.02
0187,Marcos Oliveira,18,Masculino,8º Ano,Não,Nunca,9.46,8.32,6.43
0188,Marcos Gomes,16,Masculino,6º Ano,Sim,Nunca,6.36,6.24,8.77
0189,Ana Oliveira,12,Feminino,7º Ano,Não,Nunca,6.94,7.31,8.22
0190,Rafael Ibarra,12,Masculino,7º Ano,Sim,Nunca,5.36,6.0,7.06
0191,Zeca Martins,15,Masculino,10º Ano,Sim,mais de 1 ano,5.07,5.51,9.2
0192,Tiago Ibarra,6,Masculino,1º Ano,Não,Nunca,6.59,6.89,6.89
0193,Rafael Pereira,16,Masculino,6º Ano,Sim,mais de 1 ano,9.65,5.18,5.07
0194,Tiago Lima,7,Masculino,2º Ano,Não,Nunca,7.12,5.83,6.74
0195,Natália Henrique,8,Feminino,3º Ano,Sim,mais de 1 ano,7.09,5.88,7.2
0196,Carla Vieira,14,Feminino,9º Ano,Sim,mais de 1 ano,6.52,9.58,7.71
0197,Marcos Lima,12,Masculino,7º Ano,Sim,Nunca,6.11,7.55,7.35
0198,Carla Martins,18,Feminino,8º Ano,Não,Nunca,8.69,7.66,7.03
0199,Otávio Ibarra,18,Masculino,8º Ano,Não,Nunca,9.27,8.52,8.65
0200,Fernando Costa,15,Masculino,10º Ano,Não,Nunca,7.8,7.4,7.72
0201,Ana Oliveira,11,Feminino,6º Ano,Não,Nunca,8.78,5.04,7.7
0202,Natália Queiroz,18,Feminino,8º Ano,Não,Nunca,6.18,7.45,8.12
0203,Tiago Gomes,15,Masculino,10º Ano,Não,Nunca,9.01,6.01,6.98
0204,Marcos Teixeira,16,Masculino,6º Ano,Não,Nunca,8.64,9.89,7.72
0205,Ana Vieira,12,Feminino,7º Ano,Não,Nunca,5.73,9.29,8.02
0206,Natália Zanetti,13,Feminino,8º Ano,Não,Nunca,5.66,9.46,9.34
0207,Gabriela Barbosa,18,Feminino,8º Ano,Não,Nunca,8.07,7.13,9.47
0208,Elisa Pereira,17,Feminino,7º Ano,Não,Nunca,7.24,9.92,8.13
0209,Tiago Martins,14,Masculino,9º Ano,Sim,Nunca,9.84,9.58,6.52
0210,Patrícia Lima,11,Feminino,6º Ano,Não,Nunca,7.71,8.83,6.06
0211,Marcos Oliveira,11,Masculino,6º Ano,Não,Nunca,9.13,7.02,7.2
0212,Rafael Oliveira,6,Masculino,1º Ano,Não,Nunca,8.34,7.59,5.42
0213,Patrícia Lima,14,Feminino,9º Ano,Não,Nunca,8.42,9.69,7.96
0214,Henrique Henrique,16,Masculino,6º Ano,Não,Nunca,9.76,8.21,5.27
0215,Henrique Henrique,6,Masculino,1º Ano,Não,Nunca,8.66,9.09,5.03
0216,Vivian Silva,9,Feminino,4º Ano,Não,Nunca,6.44,6.21,7.63
0217,Rafael Gomes,17,Masculino,7º Ano,Não,Nunca,5.93,7.09,9.8
0218,Otávio Lima,17,Masculino,7º Ano,Não,Nunca,8.21,8.09,5.51
0219,Diego Silva,17,Masculino,7º Ano,Não,Nunca,9.25,9.7,5.29
0220,Ana Henrique,17,Feminino,7º Ano,Não,Nunca,7.48,9.1,6.17
0221,Ana Vieira,13,Feminino,8º Ano,Não,Nunca,5.61,5.69,8.22
0222,Fernando Fernandes,6,Masculino,1º Ano,Não,Nunca,7.5,6.69,5.25
0223,Carla Gomes,15,Feminino,10º Ano,Não,Nunca,6.19,8.58,7.97
0224,Ana Henrique,9,Feminino,4º Ano,Não,Nunca,8.27,5.42,8.03
0225,Henrique Martins,18,Masculino,8º Ano,Não,Nunca,7.27,7.51,7.99
0226,Bruno Pereira,11,Masculino,6º Ano,Sim,Nunca,8.26,8.69,5.07
0227,Laura Queiroz,6,Feminino,1º Ano,Sim,Nunca,6.65,6.92,7.58
0228,Carla Ramos,17,Feminino,7º Ano,Não,Nunca,8.65,7.51,6.57
0229,Elisa Queiroz,14,Feminino,9º Ano,Não,Nunca,9.12,9.05,6.02
0230,Bruno Oliveira,12,Masculino,7º Ano,Sim,mais de 1 ano,5.89,9.15,9.37
0231,Sofia Zanetti,11,Feminino,6º Ano,Não,Nunca,8.6,8.23,6.4
0232,Natália Almeida,10,Feminino,5º Ano,Não,Nunca,9.44,5.95,8.08
0233,Diego Dias,10,Masculino,5º Ano,Não,Nunca,6.0,8.83,7.66
0234,Marcos Ibarra,8,Masculino,3º Ano,Não,Nunca,5.2,9.98,9.49
0235,Henrique Lima,15,Masculino,10º Ano,Não,Nunca,9.94,8.7,6.42
0236,Sofia Vieira,8,Feminino,3º Ano,Não,Nunca,8.18,9.0,5.09
0237,Carla Martins,11,Feminino,6º Ano,Não,Nunca,6.68,6.89,7.03
0238,Carla Barbosa,15,Feminino,10º Ano,Não,Nunca,7.05,9.49,9.68
0239,Vivian Lima,8,Feminino,3º Ano,Sim,Nunca,8.18,6.0,6.42
0240,Marcos Barbosa,13,Masculino,8º Ano,Não,Nunca,9.24,8.41,5.68
0241,Sofia Ibarra,6,Feminino,1º Ano,Não,Nunca,8.94,7.48,5.85
0242,Elisa Ramos,7,Feminino,2º Ano,Não,Nunca,6.91,7.38,9.45
0243,Otávio Lima,9,Masculino,4º Ano,Sim,mais de 1 ano,6.11,7.61,9.64
0244,Rafael Zanetti,12,Masculino,7º Ano,Não,Nunca,6.73,6.11,9.77
0245,Vivian Almeida,15,Feminino,10º Ano,Sim,Nunca,6.69,6.93,9.38
0246,Natália Oliveira,8,Feminino,3º Ano,Não,Nunca,6.18,8.14,7.49
0247,Patrícia Henrique,13,Feminino,8º Ano,Não,Nunca,8.76,7.72,5.99
0248,Ana Ramos,14,Feminino,9º Ano,Não,Nunca,6.88,6.54,5.26
0249,Gabriela Oliveira,8,Feminino,3º Ano,Não,Nunca,8.29,6.22,8.26
0250,Fernando Nogueira,6,Masculino,1º Ano,Não,Nunca,8.45,5.77,6.46
0251,Sofia Barbosa,13,Feminino,8º Ano,Não,Nunca,9.44,7.53,9.52
0252,Diego Oliveira,15,Masculino,10º Ano,Não,Nunca,8.27,8.48,8.94
0253,Zeca Teixeira,7,Masculino,2º Ano,Não,Nunca,8.7,5.59,5.83
0254,Ana Ibarra,11,Feminino,6º Ano,Não,Nunca,5.46,9.56,5.02
0255,Diego Vieira,11,Masculino,6º Ano,Não,Nunca,8.81,7.65,5.32
0256,Rafael Fernandes,15,Masculino,10º Ano,Não,Nunca,9.98,9.7,8.97
0257,Carla Vieira,6,Feminino,1º Ano,Não,Nunca,5.35,7.13,5.21
0258,Ana Henrique,11,Feminino,6º Ano,Não,Nunca,8.4,7.28,7.39
0259,Patrícia Henrique,10,Feminino,5º Ano,Não,Nunca,5.88,8.05,7.41
0260,Sofia Oliveira,14,Feminino,9º Ano,Não,Nunca,5.43,9.33,8.41
0261,Sofia Queiroz,8,Feminino,3º Ano,Não,Nunca,7.2,7.18,5.96
0262,Bruno Vieira,8,Masculino,3º Ano,Não,Nunca,8.15,8.41,9.86
0263,Zeca Teixeira,13,Masculino,8º Ano,Não,Nunca,8.06,6.36,9.98
0264,João Fernandes,8,Masculino,3º Ano,Sim,Nunca,5.64,9.67,9.78
0265,Marcos Vieira,8,Masculino,3º Ano,Não,Nunca,6.82,7.07,5.36
0266,Henrique Lima,7,Masculino,2º Ano,Não,Nunca,7.92,8.49,9.33
0267,Henrique Costa,9,Masculino,4º Ano,Não,Nunca,9.17,5.76,6.01
0268,Fernando Henrique,14,Masculino,9º Ano,Não,Nunca,9.54,8.78,7.54
0269,Zeca Ibarra,16,Masculino,6º Ano,Sim,mais de 1 ano,8.34,9.24,5.19
0270,Henrique Zanetti,8,Masculino,3º Ano,Não,Nunca,5.69,8.78,5.28
0271,João Silva,15,Masculino,10º Ano,Não,Nunca,5.33,8.02,7.98
0272,Elisa Pereira,6,Feminino,1º Ano,Não,Nunca,8.16,8.16,6.36
0273,Carla Zanetti,9,Feminino,4º Ano,Não,Nunca,6.37,8.03,5.76
0274,Patrícia Fernandes,7,Feminino,2º Ano,Não,Nunca,5.17,7.16,9.88
0275,Tiago Martins,14,Masculino,9º Ano,Sim,mais de 1 ano,5.47,6.41,8.55
0276,Vivian Júnior,15,Feminino,10º Ano,Não,Nunca,7.6,6.42,8.58
0277,Rafael Oliveira,16,Masculino,6º Ano,Sim,mais de 1 ano,9.26,9.5,8.32
0278,Ana Zanetti,7,Feminino,2º Ano,Não,Nunca,5.91,6.21,9.06
0279,Diego Zanetti,17,Masculino,7º Ano,Não,Nunca,9.7,5.24,9.12
0280,Marcos Barbosa,16,Masculino,6º Ano,Sim,mais de 1 ano,9.44,5.82,8.46
0281,João Oliveira,9,Masculino,4º Ano,Sim,mais de 1 ano,6.62,6.08,6.05
0282,Tiago Júnior,16,Masculino,6º Ano,Não,Nunca,6.5,5.98,7.14
0283,Elisa Vieira,13,Feminino,8º Ano,Não,Nunca,6.62,8.99,8.83
0284,João Henrique,13,Masculino,8º Ano,Não,Nunca,9.91,9.81,9.35
0285,João Zanetti,10,Masculino,5º Ano,Não,Nunca,7.53,9.94,7.62
0286,Vivian Vieira,14,Feminino,9º Ano,Sim,mais de 1 ano,6.08,7.88,9.29
0287,Isabela Pereira,15,Feminino,10º Ano,Sim,mais de 1 ano,5.43,9.04,9.46
0288,Natália Lima,13,Feminino,8º Ano,Não,Nunca,7.43,7.11,9.53
0289,Patrícia Teixeira,7,Feminino,2º Ano,Não,Nunca,5.16,8.94,7.69
0290,Rafael Ibarra,17,Masculino,7º Ano,Não,Nunca,6.59,6.48,9.34
0291,Elisa Fernandes,17,Feminino,7º Ano,Não,Nunca,6.2,7.92,7.27
0292,Carla Almeida,13,Feminino,8º Ano,Não,Nunca,9.53,5.77,9.28
0293,Bruno Gomes,14,Masculino,9º Ano,Não,Nunca,9.5,6.18,8.31
0294,Tiago Pereira,18,Masculino,8º Ano,Não,Nunca,9.71,8.93,7.69
0295,Otávio Zanetti,16,Masculino,6º Ano,Não,Nunca,5.03,5.35,5.51
0296,Otávio Fernandes,9,Masculino,4º Ano,Não,Nunca,5.42,9.88,7.95
0297,Marcos Zanetti,6,Masculino,1º Ano,Não,Nunca,8.5,8.55,9.61
0298,Bruno Pereira,18,Masculino,8º Ano,Não,Nunca,6.25,9.77,5.44
0299,Henrique Gomes,8,Masculino,3º Ano,Não,Nunca,9.7,9.64,6.8
0300,Diego Pereira,16,Masculino,6º Ano,Não,Nunca,6.47,6.93,7.96
